Graph Nodes:
TNK1;TNK2;TNK3;TNK4;TNK5;TNK6;TNK7;TNK8;TNK9;TNK10;TNK11;TNK12;TNK13;TNK14;TNK15;TNK16;TNK17;TNK18;TNK19;TNK20;TNK22;TNK23;TNK26;TNK32;TNK33;TNK41;TNK42;TNK56;TNK57;TNK29;TNK38;TNK50;TNK51;TNK52;TNK66;TNK67;TNK35;TNK44;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;B14;B15;B16;B17;B18;B19;B20;B21;B22;B23;B26;B32;B41;B42;B56;B57;B29;B30;B38;B39;B51;B35;B63;B44;B81;B84;Epi1;Epi2;Epi3;Epi4;Epi5;Epi6;Epi7;Epi8;Epi9;Epi10;Epi11;Epi12;Epi13;Epi14;Epi15;Epi16;Epi17;Epi18;Epi19;Epi20;Epi21;Epi22;Epi23;Epi24;Epi25;Epi26;Epi32;Epi34;Epi41;Epi42;Epi43;Epi56;Epi57;Epi58;Epi40;Epi50;Epi35;Epi36;Epi49;Epi62;Epi64;Epi74;Epi75;Epi76;Epi44;Epi45;Epi46;Epi72;Epi73;Epi80;Epi81;Epi82;Epi53;Epi55;Epi68;Epi77;Epi78;Epi79;Epi85;Mye1;Mye2;Mye3;Mye4;Mye5;Mye6;Mye7;Mye8;Mye9;Mye10;Mye11;Mye12;Mye13;Mye14;Mye15;Mye16;Mye17;Mye18;Mye19;Mye20;Mye21;Mye22;Mye23;Mye24;Mye25;Mye26;Mye32;Mye33;Mye41;Mye42;Mye43;Mye56;Mye57;Mye58;Mye50;Mye52;Mye35;Mye47;Mye48;Mye62;Mye63;Mye74;Mye59;Mye71;Mye72;Mye73;Mye53;Mye54;Mye68;Mye77;Mye84;Stromal1;Stromal2;Stromal3;Stromal4;Stromal5;Stromal6;Stromal7;Stromal8;Stromal9;Stromal10;Stromal11;Stromal12;Stromal13;Stromal14;Stromal15;Stromal16;Stromal17;Stromal18;Stromal19;Stromal20;Stromal21;Stromal22;Stromal23;Stromal24;Stromal26;Stromal27;Stromal28;Stromal32;Stromal34;Stromal41;Stromal42;Stromal43;Stromal56;Stromal58;Stromal40;Stromal65;Stromal66;Stromal35;Stromal37;Stromal48;Stromal49;Stromal62;Stromal63;Stromal64;Stromal44;Stromal45;Stromal59;Stromal61;Stromal73;Stromal80;Stromal54;Stromal55;Stromal68;Stromal78;Stromal85

Graph Edges:
1. B1 --> B3 dd nl
2. B10 --> Stromal10 dd nl
3. B12 --> Stromal65 dd nl
4. B12 --> TNK35 dd nl
5. B14 --> B20 dd nl
6. B14 --> Stromal73 dd nl
7. B15 --> Epi5 dd nl
8. B15 --> Mye25 dd nl
9. B18 --> Epi9 dd nl
10. B18 --> TNK23 dd nl
11. B19 --> B38 dd nl
12. B2 --> Stromal49 dd nl
13. B20 --> Stromal68 dd nl
14. B22 --> Stromal2 dd nl
15. B22 --> Stromal4 dd nl
16. B23 --> B12 dd nl
17. B29 --> Epi68 dd nl
18. B29 --> Stromal42 dd nl
19. B3 --> B22 dd nl
20. B3 --> TNK5 dd nl
21. B32 --> B10 dd nl
22. B35 --> B51 dd nl
23. B38 --> B22 dd nl
24. B4 --> Epi7 dd nl
25. B4 --> Epi77 dd nl
26. B41 --> B29 dd nl
27. B41 --> Stromal56 dd nl
28. B42 --> B35 dd nl
29. B42 --> Mye58 dd nl
30. B42 --> Stromal15 dd nl
31. B5 --> TNK66 dd nl
32. B51 --> Mye14 dd nl
33. B56 --> Mye35 dd nl
34. B57 --> B14 dd nl
35. B57 --> TNK10 dd nl
36. B57 --> TNK22 dd nl
37. B7 --> Mye16 dd nl
38. B7 --> Stromal18 dd nl
39. B8 --> Stromal9 dd nl
40. B81 --> Epi6 dd nl
41. B84 --> Mye47 dd nl
42. B84 --> Stromal21 dd nl
43. Epi1 --> TNK67 dd nl
44. Epi10 --> TNK5 dd nl
45. Epi11 --> Stromal34 dd nl
46. Epi11 --> Stromal59 dd nl
47. Epi12 --> Epi35 dd nl
48. Epi13 --> Epi78 dd nl
49. Epi13 --> Stromal27 dd nl
50. Epi14 --> Epi76 dd nl
51. Epi14 --> TNK42 dd nl
52. Epi19 --> Epi56 dd nl
53. Epi19 --> Mye21 dd nl
54. Epi19 --> Mye71 dd nl
55. Epi21 --> B44 dd nl
56. Epi26 --> B32 dd nl
57. Epi26 --> Epi1 dd nl
58. Epi26 --> Mye20 dd nl
59. Epi3 --> B81 dd nl
60. Epi3 --> Mye73 dd nl
61. Epi32 --> Stromal54 dd nl
62. Epi32 --> Stromal61 dd nl
63. Epi35 --> Epi14 dd nl
64. Epi35 --> Epi53 dd nl
65. Epi41 --> Epi58 dd nl
66. Epi42 --> TNK1 dd nl
67. Epi43 --> Epi76 dd nl
68. Epi43 --> Mye16 dd nl
69. Epi43 --> Stromal41 dd nl
